DEGRE,RADIAN,SINUS,COSINUS,TANGENTE,COTANGENTE
0.000000,0.000000,0.000000,1.000000,0.000000,inf
1.000000,0.017453,0.017452,0.999848,0.017455,57.289962
2.000000,0.034907,0.034899,0.999391,0.034921,28.636253
3.000000,0.052360,0.052336,0.998630,0.052408,19.081137
4.000000,0.069813,0.069756,0.997564,0.069927,14.300666
5.000000,0.087266,0.087156,0.996195,0.087489,11.430052
6.000000,0.104720,0.104528,0.994522,0.105104,9.514364
7.000000,0.122173,0.121869,0.992546,0.122785,8.144346
8.000000,0.139626,0.139173,0.990268,0.140541,7.115370
9.000000,0.157080,0.156434,0.987688,0.158384,6.313752
10.000000,0.174533,0.173648,0.984808,0.176327,5.671282
11.000000,0.191986,0.190809,0.981627,0.194380,5.144554
12.000000,0.209440,0.207912,0.978148,0.212557,4.704630
13.000000,0.226893,0.224951,0.974370,0.230868,4.331476
14.000000,0.244346,0.241922,0.970296,0.249328,4.010781
15.000000,0.261799,0.258819,0.965926,0.267949,3.732051
16.000000,0.279253,0.275637,0.961262,0.286745,3.487414
17.000000,0.296706,0.292372,0.956305,0.305731,3.270853
18.000000,0.314159,0.309017,0.951057,0.324920,3.077684
19.000000,0.331613,0.325568,0.945519,0.344328,2.904211
20.000000,0.349066,0.342020,0.939693,0.363970,2.747477
21.000000,0.366519,0.358368,0.933580,0.383864,2.605089
22.000000,0.383972,0.374607,0.927184,0.404026,2.475087
23.000000,0.401426,0.390731,0.920505,0.424475,2.355852
24.000000,0.418879,0.406737,0.913545,0.445229,2.246037
25.000000,0.436332,0.422618,0.906308,0.466308,2.144507
26.000000,0.453786,0.438371,0.898794,0.487733,2.050304
27.000000,0.471239,0.453990,0.891007,0.509525,1.962611
28.000000,0.488692,0.469472,0.882948,0.531709,1.880726
29.000000,0.506145,0.484810,0.874620,0.554309,1.804048
30.000000,0.523599,0.500000,0.866025,0.577350,1.732051
31.000000,0.541052,0.515038,0.857167,0.600861,1.664279
32.000000,0.558505,0.529919,0.848048,0.624869,1.600335
33.000000,0.575959,0.544639,0.838671,0.649408,1.539865
34.000000,0.593412,0.559193,0.829038,0.674509,1.482561
35.000000,0.610865,0.573576,0.819152,0.700208,1.428148
36.000000,0.628319,0.587785,0.809017,0.726543,1.376382
37.000000,0.645772,0.601815,0.798636,0.753554,1.327045
38.000000,0.663225,0.615661,0.788011,0.781286,1.279942
39.000000,0.680678,0.629320,0.777146,0.809784,1.234897
40.000000,0.698132,0.642788,0.766044,0.839100,1.191754
41.000000,0.715585,0.656059,0.754710,0.869287,1.150368
42.000000,0.733038,0.669131,0.743145,0.900404,1.110613
43.000000,0.750492,0.681998,0.731354,0.932515,1.072369
44.000000,0.767945,0.694658,0.719340,0.965689,1.035530
45.000000,0.785398,0.707107,0.707107,1.000000,1.000000
46.000000,0.802851,0.719340,0.694658,1.035530,0.965689
47.000000,0.820305,0.731354,0.681998,1.072369,0.932515
48.000000,0.837758,0.743145,0.669131,1.110613,0.900404
49.000000,0.855211,0.754710,0.656059,1.150368,0.869287
50.000000,0.872665,0.766044,0.642788,1.191754,0.839100
51.000000,0.890118,0.777146,0.629320,1.234897,0.809784
52.000000,0.907571,0.788011,0.615661,1.279942,0.781286
53.000000,0.925025,0.798636,0.601815,1.327045,0.753554
54.000000,0.942478,0.809017,0.587785,1.376382,0.726543
55.000000,0.959931,0.819152,0.573576,1.428148,0.700208
56.000000,0.977384,0.829038,0.559193,1.482561,0.674509
57.000000,0.994838,0.838671,0.544639,1.539865,0.649408
58.000000,1.012291,0.848048,0.529919,1.600335,0.624869
59.000000,1.029744,0.857167,0.515038,1.664279,0.600861
60.000000,1.047198,0.866025,0.500000,1.732051,0.577350
61.000000,1.064651,0.874620,0.484810,1.804048,0.554309
62.000000,1.082104,0.882948,0.469472,1.880726,0.531709
63.000000,1.099557,0.891007,0.453990,1.962611,0.509525
64.000000,1.117011,0.898794,0.438371,2.050304,0.487733
65.000000,1.134464,0.906308,0.422618,2.144507,0.466308
66.000000,1.151917,0.913545,0.406737,2.246037,0.445229
67.000000,1.169371,0.920505,0.390731,2.355852,0.424475
68.000000,1.186824,0.927184,0.374607,2.475087,0.404026
69.000000,1.204277,0.933580,0.358368,2.605089,0.383864
70.000000,1.221730,0.939693,0.342020,2.747477,0.363970
71.000000,1.239184,0.945519,0.325568,2.904211,0.344328
72.000000,1.256637,0.951057,0.309017,3.077684,0.324920
73.000000,1.274090,0.956305,0.292372,3.270853,0.305731
74.000000,1.291544,0.961262,0.275637,3.487414,0.286745
75.000000,1.308997,0.965926,0.258819,3.732051,0.267949
76.000000,1.326450,0.970296,0.241922,4.010781,0.249328
77.000000,1.343904,0.974370,0.224951,4.331476,0.230868
78.000000,1.361357,0.978148,0.207912,4.704630,0.212557
79.000000,1.378810,0.981627,0.190809,5.144554,0.194380
80.000000,1.396263,0.984808,0.173648,5.671282,0.176327
